gig_id,x,category
a1xgraphics/write-a-100-word-horror-story-to-terrify-you,1.6739872084496312,writing
a2l010/send-instant-300-full-hd-copyright-free-nature-videos-in-just-few-minutes,0.6173062734818208,video
a3606363/be-able-source-thailand-suppliers-and-manufacturers-with-20-years-experience,2.9073188706289903,translation
a3du114h/teach-you-python-development,1.495709780029189,coding
a7admukhtar/design-a-professional-company-profile,2.6164442270711565,design
a_dalvadi/do-customization-or-bug-fixing-to-perfex-crm,1.072768544939715,coding
a_samadshah/audit-optimize-and-will-make-your-ppc-profitable-as-amazon-ppc-expert,4.229346266983578,marketing
a_samadshah/create-amazon-storefront-design-or-amazon-brand-store,3.3891701887055126,design
a_umair55/do-cashback-and-products-cms-with-affiliate-networks,3.8041794189111093,marketing
a_victorson/edit-and-customize-your-ae-template-or-make-custom-animation,2.086901095923104,video
aa__production/create-a-perfect-whiteboard-animation-video,1.9827848910329375,video
aa_edits/do-modern-day-video-editing-for-you,2.146395545545812,writing
aabrar007/add-stunning-effects-to-your-video,1.1969702432049358,video
aadi421/create-a-whiteboard-animation-video,0.2941267117621757,video
aadil_chan/do-linkedin-profile-creation-optimization-profile-writing,0.8598597816695592,writing
aadnaan/do-any-photoshop-editing-within-12-hrs,0.11121762070331119,writing
aafsarhossain/12-page-product-catalog-magazine-booklet-design,2.4664439904149926,writing
aafshaseoexpert/do-seo-for-etsy-shop-to-rank-etsy-listing-on-top-pages,0.5905836465496778,marketing
aaftabi/do-a-unique-book-cover-design,2.7331637826880217,writing
aahna_va/grow-and-promote-instagram-page-organically,1.7502597304538747,marketing
aakash8787/create-wordpress-website-with-beaver-builder,3.307252201534896,coding
aaliyaan/audit-your-wordpress-site-and-send-complete-report,2.0317943383795454,coding
aaliyaan/customize-wordpress-fix-wp-error-edit-themetemplate-or-css,1.2838430956698637,coding
aaliyaan/do-youtube-music-video-promotion,1.7003442707593892,video
aaliyaan/fix-your-wordpress-css-bug-any-wp-issue-and-fix-themes,4.469892246319257,coding
aaliyaan/increase-speed-of-your-wordpress-blog-or-wp-site,2.2113980012956382,writing
aaliyaan/organically-promote-your-youtube-channel,1.7428333056129053,marketing
aaliyaan/promote-youtube-video-through-suggested-videos,1.3931280448412613,video
aaliyaan/send-real-1000-youtube-views-traffic-to-youtube-video-for-top-rankings,1.5765728005172135,video
aaliyaan/seo-optimize-and-get-your-youtube-video-ranked-at-number-top-1-position-in-search-results,1.7197419657300084,video
aamarteam/submit-your-flyer-poster-in-6-hours,1.8213343334610053,design
aameeen/do-5000-google-map-citations-for-local-business-seo,1.1600723646175681,marketing
aamir108/wordpress-installation-and-theme-installation,1.8586259896405792,coding
aamir122/professionally-manage-market-grow-instagram-f8b1825e-0cff-4156-bb4f-192162ee59b1,2.394395884765473,marketing
aamir1996/amazon-brand-registry-with-pending-trademark,2.6055816316752054,design
