item_id,label,n_gigs,n_sellers,median_price,mean_price,median_reviews,sample_descriptions
0,fashion | clothing | apparel | design | tech,15,5,15.00,23.30,124,"create designs and illustration for fashion ||| design your fashion collection, clothing apparel line ||| design fashion cad illustration flats technical drawings"
1,eye catching | catching | eye | hand | design,19,17,10.00,17.09,396,create awesome hand lettering design ||| make hand drawn skill and item icons for your game ||| create an outstanding logo design
2,domain | public | available | motivational | com,7,7,100.00,76.20,38,"do nursing ,capstone ,picot ,ebp ,psychology,public health and political science ||| write a persuasive, motivational and inspiring speech ||| write monthly blog content available for subscription"
3,spokesperson | video | video spokesperson | music video | music,26,9,20.00,127.07,90,make animated music video cartoon in 2d ||| be your authentic spokesperson with natural background ||| make an animated lyric video for your song
4,wordpress | wordpress website | page | website | fix,62,33,25.00,88.32,241,"create a responsive wordpress website design ||| create wordpress website with responsive design ||| fix any wordpress bug, error, issue"
5,version | logos | bit | 16 bit | 16,5,4,15.00,14.58,191,"create a vector version up to 2 of your logos,images,pictures ||| do a 16 bit pixel art image or gif about anything ||| convert your song to 8, 16 bit version"
6,professional | card | design | design professional | business card,60,43,10.00,107.44,61,design professional roll banner signs large format ||| create a professional modern business and branding logo ||| do professional business card design with two concepts
7,job | job description | description | resume | cv,11,7,10.00,19.84,7,"write a professional and eye catching job description ||| create job description jd adverts policies forms and organograms ||| create stunning job description, job advert, organograms, contract letters"
8,logo | design | logo design | modern | minimalist,73,37,45.00,51.70,64,"create a modern church or ministry logo ||| do a stunning bishop, school and church seal logo ||| design modern, unique professional logo in 24 hours"
9,packaging | design | box | label | beer,10,6,10.00,25.15,45,"design the labels for your beer, beverage or sauce bottles ||| do product packaging design, mailer box design, label design ||| design a minimal and elegant wine label"
10,research | keyword research | keyword | uk | usa uk,23,17,25.00,35.13,15,assist in research proposal ||| give an idea for research proposal ||| do market research and competitor analysis
11,high | quality | high quality | end | hd,15,10,30.00,276.07,3506,edit your corporate video into a high end final product ||| sell any products online on high quality website backpage ||| do any high end portrait retouch
12,ways | view | hubpages | hubs | suggest,6,3,20.00,15.43,245,draw architectural sketches of exterior view of buildings with watercolor ||| look at your ebay auctions and suggest ways of improvement ||| look at your hubpages hubs and suggest ways that they can be improved
13,facebook | instagram | timeline | post | posts,17,13,40.00,51.29,632,"edit in alex hormozi style instagram reels, tiktoks with interactive subtitles ||| create canva instagram post templates ||| give you over 1 million fresh facebook real emails you will get thousands of friends with it"
14,white | ico | white paper | paper | black white,13,10,40.00,43.48,24,"do 10 diferent black and white/color versions of your photo ||| write and design your blockchain ico white paper ||| write top notch nft, blockchain or crypto white paper"
15,draw | illustration | style | cartoon | anime,52,31,15.00,26.44,171,"do awesome vector, flat and portrait illustration for you ||| draw and illustrate your children book illustration ||| do your awesome illustration"
16,plan | autocad | 2d | sketch | floor,20,13,15.00,28.56,42,"make architecture drawings on autocad ||| design architectural floor plan in autocad,any sketch design ||| draw 2d site plan on autocad from google maps"
17,virtual | private | virtual assistant | assistant | leads,6,6,15.00,18.14,69,be your personal and executive virtual assistant ||| be your private investigator ||| be your virtual assistent
